code,date,open,high,low,close,volume
588000.SH,20260420,1.5,1.529,1.5,1.527,24059226
588000.SH,20260421,1.523,1.523,1.491,1.504,23261832
588000.SH,20260422,1.496,1.53,1.495,1.529,23622753
588000.SH,20260423,1.543,1.545,1.494,1.508,25578804
588000.SH,20260424,1.513,1.551,1.493,1.531,32916929
588000.SH,20260427,1.552,1.597,1.544,1.591,33052984
588000.SH,20260428,1.579,1.608,1.559,1.568,23183886
588000.SH,20260429,1.555,1.576,1.53,1.575,22938789
588000.SH,20260430,1.592,1.665,1.59,1.654,51410542
588000.SH,20260506,1.719,1.812,1.709,1.744,43376901
588000.SH,20260507,1.752,1.772,1.733,1.769,23533728
588000.SH,20260508,1.744,1.745,1.712,1.727,27678011
588000.SH,20260511,1.777,1.82,1.758,1.811,37053343
588000.SH,20260512,1.802,1.841,1.777,1.816,28999405
588000.SH,20260513,1.78,1.866,1.767,1.865,34174507
588000.SH,20260514,1.884,1.898,1.814,1.815,34701713
588000.SH,20260515,1.807,1.865,1.758,1.787,44180704
588000.SH,20260518,1.77,1.842,1.77,1.803,33138391
588000.SH,20260519,1.787,1.872,1.759,1.871,37991842
588000.SH,20260520,1.857,1.933,1.856,1.931,39558656
588000.SH,20260521,1.967,1.994,1.853,1.86,43811242
588000.SH,20260522,1.873,1.899,1.84,1.887,31913483
588000.SH,20260525,1.887,2.002,1.867,1.998,43284249
588000.SH,20260526,1.983,1.983,1.922,1.968,37234694
588000.SH,20260527,1.972,2.003,1.905,1.911,38203455
588000.SH,20260528,1.893,1.954,1.891,1.942,38830391
588000.SH,20260529,1.944,1.952,1.82,1.844,46204309
588000.SH,20260601,1.841,1.85,1.751,1.754,41950165
588000.SH,20260602,1.756,1.803,1.728,1.781,35626927
588000.SH,20260603,1.788,1.872,1.784,1.823,41060877
588000.SH,20260604,1.794,1.856,1.789,1.832,22853730
588000.SH,20260605,1.801,1.829,1.75,1.763,30367655
588000.SH,20260608,1.69,1.725,1.665,1.683,38792519
588000.SH,20260609,1.721,1.76,1.696,1.755,28793746
